Date,Return
31/3/2014,0.106%
28/2/2014,0.092%
31/1/2014,0.102%
31/12/2013,0.139%
30/11/2013,0.089%
31/10/2013,0.058%
30/9/2013,0.046%
31/8/2013,0.063%
31/7/2013,0.059%
30/6/2013,0.079%
31/5/2013,0.050%
30/4/2013,0.042%
31/3/2013,0.052%
28/2/2013,0.051%
31/1/2013,0.111%
31/12/2012,0.042%
30/11/2012,0.048%
31/10/2012,0.059%
30/9/2012,0.053%
31/8/2012,0.045%
31/7/2012,0.032%
30/6/2012,0.069%
31/5/2012,0.068%
30/4/2012,0.115%
31/3/2012,0.138%
29/2/2012,0.139%
31/1/2012,0.228%
31/12/2011,0.095%
30/11/2011,0.149%
31/10/2011,0.315%
30/9/2011,0.301%
31/8/2011,0.605%
31/7/2011,0.908%
30/6/2011,1.199%
31/5/2011,1.068%
30/4/2011,1.043%
31/3/2011,0.903%
28/2/2011,0.746%
31/1/2011,0.720%
31/12/2010,0.452%
30/11/2010,0.581%
31/10/2010,0.681%
30/9/2010,0.509%
31/8/2010,0.354%
31/7/2010,0.354%
30/6/2010,0.243%
31/5/2010,0.182%
30/4/2010,0.310%
31/3/2010,0.300%
28/2/2010,0.298%
31/1/2010,0.324%
31/12/2009,0.413%
30/11/2009,0.491%
31/10/2009,0.480%
30/9/2009,0.428%
31/8/2009,0.416%
31/7/2009,0.424%
30/6/2009,0.613%
31/5/2009,0.742%
30/4/2009,0.707%
31/3/2009,0.637%
28/2/2009,0.830%
31/1/2009,1.103%
31/12/2008,1.306%
30/11/2008,1.773%
31/10/2008,1.952%
30/9/2008,3.296%
31/8/2008,4.131%
31/7/2008,4.136%
30/6/2008,4.227%
31/5/2008,3.873%
30/4/2008,3.668%
31/3/2008,3.642%
29/2/2008,3.711%
31/1/2008,3.731%
31/12/2007,3.757%
30/11/2007,3.738%
31/10/2007,3.847%
28/9/2007,3.757%
31/8/2007,3.788%
31/7/2007,3.979%
29/6/2007,3.874%
31/5/2007,3.813%
30/4/2007,3.738%
30/3/2007,3.632%
28/2/2007,3.632%
31/1/2007,3.555%
29/12/2006,3.359%
30/11/2006,3.304%
31/10/2006,3.265%
29/9/2006,3.104%
31/8/2006,2.984%
31/7/2006,2.936%
30/6/2006,2.765%
31/5/2006,2.701%
28/4/2006,2.538%
31/3/2006,2.547%
28/2/2006,2.484%
31/1/2006,2.403%
