Date,60-day
18/6/2014, 0.2456 
17/6/2014, 0.2495 
16/6/2014, 0.2477 
13/6/2014, 0.2520 
12/6/2014, 0.2493 
11/6/2014, 0.2464 
10/6/2014, 0.2485 
9/6/2014, 0.2511 
6/6/2014, 0.2544 
5/6/2014, 0.2530 
4/6/2014, 0.2589 
3/6/2014, 0.2579 
2/6/2014, 0.2599 
30/5/2014, 0.2611 
29/5/2014, 0.2594 
28/5/2014, 0.2567 
27/5/2014, 0.2565 
26/5/2014, 0.2676 
23/5/2014, 0.2669 
22/5/2014, 0.2648 
21/5/2014, 0.2644 
20/5/2014, 0.2610 
19/5/2014, 0.2552 
16/5/2014, 0.2543 
15/5/2014, 0.2525 
14/5/2014, 0.2500 
13/5/2014, 0.2482 
12/5/2014, 0.2468 
9/5/2014, 0.2408 
8/5/2014, 0.2420 
7/5/2014, 0.2450 
6/5/2014, 0.2452 
5/5/2014, 0.2452 
2/5/2014, 0.2448 
1/5/2014, 0.2498 
30/4/2014, 0.2577 
29/4/2014, 0.2578 
28/4/2014, 0.2620 
25/4/2014, 0.3114 
24/4/2014, 0.3060 
23/4/2014, 0.3114 
22/4/2014, 0.3177 
21/4/2014, 0.3196 
18/4/2014, 0.3206 
17/4/2014, 0.3430 
16/4/2014, 0.3462 
15/4/2014, 0.3400 
14/4/2014, 0.3375 
11/4/2014, 0.3383 
10/4/2014, 0.3315 
9/4/2014, 0.3112 
8/4/2014, 0.3079 
7/4/2014, 0.3126 
4/4/2014, 0.3129 
3/4/2014, 0.3067 
2/4/2014, 0.3061 
1/4/2014, 0.3046 
31/3/2014, 0.3046 
28/3/2014, 0.2991 
27/3/2014, 0.2981 
26/3/2014, 0.3045 
25/3/2014, 0.3049 
24/3/2014, 0.3069 
21/3/2014, 0.3051 
20/3/2014, 0.3090 
19/3/2014, 0.3126 
18/3/2014, 0.3120 
17/3/2014, 0.3101 
14/3/2014, 0.3101 
13/3/2014, 0.3095 
12/3/2014, 0.3100 
11/3/2014, 0.3096 
10/3/2014, 0.3082 
7/3/2014, 0.3060 
6/3/2014, 0.3074 
5/3/2014, 0.3208 
4/3/2014, 0.3213 
3/3/2014, 0.3106 
28/2/2014, 0.3104 
27/2/2014, 0.3125 
26/2/2014, 0.3122 
25/2/2014, 0.3158 
24/2/2014, 0.3166 
21/2/2014, 0.3188 
20/2/2014, 0.3231 
19/2/2014, 0.3218 
18/2/2014, 0.3210 
17/2/2014, 0.3219 
14/2/2014, 0.3181 
13/2/2014, 0.3232 
12/2/2014, 0.3234 
11/2/2014, 0.3274 
10/2/2014, 0.3261 
7/2/2014, 0.3277 
6/2/2014, 0.3250 
5/2/2014, 0.3248 
4/2/2014, 0.3259 
3/2/2014, 0.3246 
31/1/2014, 0.2800 
30/1/2014, 0.2977 
29/1/2014, 0.2901 
28/1/2014, 0.2841 
27/1/2014, 0.2815 
24/1/2014, 0.2776 
23/1/2014, 0.2373 
22/1/2014, 0.2346 
21/1/2014, 0.2337 
20/1/2014, 0.2338 
17/1/2014, 0.2284 
16/1/2014, 0.2220 
15/1/2014, 0.2213 
14/1/2014, 0.2221 
13/1/2014, 0.2131 
10/1/2014, 0.1985 
9/1/2014, 0.2008 
8/1/2014, 0.2130 
7/1/2014, 0.2217 
6/1/2014, 0.2205 
3/1/2014, 0.2218 
2/1/2014, 0.2527 
31/12/2013, 0.2448 
30/12/2013, 0.2596 
27/12/2013, 0.2670 
26/12/2013, 0.2685 
25/12/2013, 0.2740 
24/12/2013, 0.2710 
23/12/2013, 0.2744 
20/12/2013, 0.2753 
19/12/2013, 0.2751 
18/12/2013, 0.2764 
17/12/2013, 0.2668 
16/12/2013, 0.2671 
13/12/2013, 0.2667 
12/12/2013, 0.2717 
