Date,Benchmark Return,SF Equity (%),SF Return
31/3/2014,-0.62%,65.0%,-0.68%
28/2/2014,2.94%,62.1%,3.04%
31/1/2014,-0.96%,60.1%,-0.97%
31/12/2013,0.62%,58.7%,0.60%
30/11/2013,0.57%,62.1%,0.58%
31/10/2013,2.30%,64.8%,2.48%
30/9/2013,2.65%,66.8%,2.94%
31/8/2013,-0.40%,67.4%,-0.46%
31/7/2013,3.07%,74.1%,3.78%
30/6/2013,-3.16%,74.1%,-3.91%
31/5/2013,0.72%,76.2%,0.91%
30/4/2013,0.76%,77.5%,0.97%
31/3/2013,0.75%,78.1%,0.97%
28/2/2013,0.62%,79.8%,0.82%
31/1/2013,1.64%,76.1%,2.07%
31/12/2012,0.92%,74.83%,1.15%
30/11/2012,1.16%,74.33%,1.44%
31/10/2012,0.41%,73.49%,0.49%
30/9/2012,0.55%,72.84%,0.66%
31/8/2012,1.11%,73.48%,1.35%
31/7/2012,2.41%,72.22%,2.89%
30/6/2012,2.81%,70.80%,3.31%
31/5/2012,-4.14%,67.11%,-4.63%
30/4/2012,-1.30%,67.98%,-1.48%
31/3/2012,-0.25%,68.47%,-0.30%
29/2/2012,2.35%,66.91%,2.62%
31/1/2012,2.48%,65.72%,2.71%
31/12/2011,1.14%,61.10%,1.15%
30/11/2011,-0.87%,61.10%,-0.89%
31/10/2011,4.61%,63.18%,4.84%
30/9/2011,-2.91%,64.10%,-3.11%
31/8/2011,-6.25%,65.10%,-6.79%
31/7/2011,-1.62%,68.40%,-1.86%
30/6/2011,-1.77%,68.11%,-2.03%
31/5/2011,-0.57%,68.15%,-0.66%
30/4/2011,1.71%,68.34%,1.93%
31/3/2011,-2.09%,68.50%,-2.40%
28/2/2011,1.38%,68.90%,1.57%
31/1/2011,0.90%,68.11%,1.01%
31/12/2010,3.33%,67.36%,3.73%
30/11/2010,-0.89%,64.60%,-0.97%
31/10/2010,1.53%,63.57%,1.61%
30/9/2010,2.11%,63.40%,2.22%
31/8/2010,-0.94%,60.83%,-0.96%
31/7/2010,2.96%,56.80%,2.80%
30/6/2010,-0.41%,56.30%,-0.39%
31/5/2010,-3.51%,56.10%,-3.29%
30/4/2010,-0.67%,59.30%,-0.67%
31/3/2010,4.38%,61.57%,4.48%
28/2/2010,-0.29%,56.98%,-0.28%
31/1/2010,-1.54%,58.78%,-1.51%
31/12/2009,3.70%,57.90%,3.57%
30/11/2009,0.50%,55.25%,0.46%
31/10/2009,-1.36%,54.94%,-1.24%
30/9/2009,1.71%,55.10%,1.56%
31/8/2009,3.11%,52.10%,2.70%
31/7/2009,5.50%,47.40%,4.35%
30/6/2009,-0.72%,42.90%,-0.50%
31/5/2009,2.49%,42.70%,1.79%
30/4/2009,8.23%,42.40%,5.83%
31/3/2009,1.28%,41.87%,0.90%
28/2/2009,-5.67%,41.40%,-3.90%
31/1/2009,-1.99%,40.30%,-1.31%
31/12/2008,-2.27%,40.40%,-1.50%
30/11/2008,-4.20%,46.40%,-3.22%
31/10/2008,-7.98%,47.40%,-6.28%
30/9/2008,-6.73%,47.90%,-5.32%
31/8/2008,1.14%,48.10%,0.98%
31/7/2008,-1.14%,47.10%,-0.83%
30/6/2008,-5.96%,49.90%,-4.90%
31/5/2008,0.02%,50.10%,0.07%
30/4/2008,3.42%,51.30%,2.96%
31/3/2008,-2.32%,48.78%,-1.83%
29/2/2008,-0.40%,55.10%,-0.34%
31/1/2008,-6.87%,57.40%,-6.57%
31/12/2007,-0.80%,64.30%,-0.89%
30/11/2007,-2.84%,71.00%,-3.43%
31/10/2007,1.85%,68.10%,2.05%
28/9/2007,0.30%,69.90%,0.30%
31/8/2007,-0.60%,71.30%,-0.77%
31/7/2007,-1.89%,70.10%,-2.26%
29/6/2007,-0.33%,68.10%,-0.42%
31/5/2007,1.64%,67.70%,1.80%
30/4/2007,2.14%,67.80%,2.37%
30/3/2007,1.67%,66.55%,1.82%
28/2/2007,-1.10%,70.50%,-1.35%
31/1/2007,1.39%,71.40%,1.59%
29/12/2006,2.42%,72.67%,2.87%
30/11/2006,-0.09%,68.78%,-0.15%
31/10/2006,2.26%,70.31%,2.60%
29/9/2006,1.30%,66.65%,1.41%
31/8/2006,1.68%,67.78%,1.85%
31/7/2006,1.07%,63.35%,1.11%
30/6/2006,0.41%,61.00%,0.41%
31/5/2006,-3.09%,70.70%,-3.68%
28/4/2006,0.49%,75.40%,0.55%
31/3/2006,1.34%,76.60%,1.65%
28/2/2006,1.33%,76.10%,1.63%
31/1/2006,2.31%,75.30%,2.84%
