Year,Value
2000/10,41716375
2000/11,43795763
2000/12,43400399
2000/8,44116925
2000/9,43688324
2001/1,32471478
2001/10,41692335
2001/11,44844778
2001/12,46892684
2001/2,37424240
2001/3,43911529
2001/4,44651461
2001/5,39622274
2001/6,43332569
2001/7,43843192
2001/8,45701658
2001/9,45839966
2002/1,40673708
2002/10,55143413
2002/11,59943788
2002/12,60622072
2002/2,35055616
2002/3,46301912
2002/4,52475399
2002/5,47077295
2002/6,49106904
2002/7,56197636
2002/8,56642337
2002/9,61704894
2003/1,60791757
2003/10,76118408
2003/11,78655255
2003/12,90397705
2003/2,48235241
2003/3,64640400
2003/4,70218283
2003/5,65446377
2003/6,66812034
2003/7,74623274
2003/8,72036403
2003/9,83593034
2004/1,71448799
2004/10,97957453
2004/11,111955162
2004/12,116492514
2004/2,76187481
2004/3,92235758
2004/4,96498300
2004/5,87632915
2004/6,99149006
2004/7,99976214
2004/8,98310791
2004/9,106613957
2005/1,95016344
2005/10,124168029
2005/11,133904978
2005/12,139808390
2005/2,84189386
2005/3,116005232
2005/4,119711424
2005/5,107865453
2005/6,122241579
2005/7,120622786
2005/8,126206291
2005/9,132808633
2006/1,120485642
2006/10,152424888
2006/11,168780985
2006/12,167190806
2006/2,105792012
2006/3,144902969
2006/4,143439532
2006/5,133223612
2006/6,148119519
2006/7,146050666
2006/8,162735898
2006/9,167971961
2007/1,157358930
2007/10,188397323
2007/11,208960363
2007/12,206144967
2007/2,140434953
2007/3,159976870
2007/4,178054164
2007/5,165655863
2007/6,179626502
2007/7,191131293
2007/8,197735485
2007/9,200940255
2008/1,199814476
2008/10,221414714
2008/11,189884755
2008/12,183334407
2008/2,166180930
2008/3,204519033
2008/4,220873768
2008/5,220782553
2008/6,221359490
2008/7,248072192
2008/8,241051168
2008/9,243497362
2009/1,141797865
2009/10,197537132
2009/11,208213860
2009/12,243017595
2009/2,124948306
2009/3,162019659
2009/4,170734409
2009/5,164127242
2009/6,182570753
2009/7,200210823
2009/8,191702243
2009/9,218943864
2010/1,204782346
2010/10,244811120
2010/11,283761707
2010/12,295217729
2010/2,181433048
2010/3,231459885
2010/4,238160128
2010/5,243988412
2010/6,254769304
2010/7,262308256
2010/8,258568382
2010/9,273095589
2011/1,295007361
2011/10,297948470
2011/11,334400118
2011/12,332914539
2011/2,200800092
2011/3,304259379
2011/4,299947165
2011/5,301267415
2011/6,301688971
2011/7,318772463
2011/8,328872435
2011/9,324832092
2012/1,272600339
2012/10,319095518
2012/11,339128259
2012/12,366840927
2012/2,260424706
2012/3,325968900
2012/4,308076236
2012/5,343582201
2012/6,328686836
2012/7,328733311
2012/8,329286043
2012/9,345029990
2013/1,345584884
2013/10,339704440
2013/11,370608687
2013/12,389843996
2013/2,263509010
2013/3,365203096
2013/4,355961467
2013/5,345107274
2013/6,321507187
2013/7,354164683
2013/8,352697865
2013/9,356069938
2014/1,382394944
2014/10,368327943
2014/11,368848960
2014/12,405413212
2014/2,251176182
2014/3,332512681
2014/4,358628525
2014/5,355024110
2014/6,342012378
2014/7,378481575
2014/8,367095251
2014/9,396411570
2015/1,340484185
2015/10,323148187
2015/11,339181636
2015/12,387977840
2015/2,277762096
2015/3,286055898
2015/4,318527152
2015/5,321247714
2015/6,337412104
2015/7,347168095
2015/8,333496775
2015/9,350767303
2016/1,291084568
2016/10,306969670
2016/11,342863237
2016/12,378016588
2016/2,219697006
2016/3,291769733
2016/4,299958011
2016/5,312143222
2016/6,312459054
2016/7,315056873
2016/8,329135339
2016/9,327018366
2017/1,314161658
2017/2,249305614
2017/3,337284922
2017/4,321944001
2017/5,341234306
2017/6,350429225
2017/7,340477446
2017/8,356467191
