VIX,Date
17.96,2001/2/4
18.45,2001/5/4
17.66,2001/6/4
16.72,2001/7/4
15.42,2001/8/4
16.15,2001/9/4
17.32,2001/12/4
16.6,1/13/04
17.29,1/14/04
17.07,1/15/04
15.4,1/16/04
15.77,1/20/04
15.63,1/21/04
14.2,1/22/04
14.73,1/23/04
15.78,1/26/04
15.28,1/27/04
15.37,1/28/04
16.88,1/29/04
16.55,1/30/04
17.45,2002/2/4
17.29,2002/3/4
17.84,2002/4/4
17.91,2002/5/4
17.71,2002/6/4
16.54,2002/9/4
16.41,2002/10/4
15.9,2002/11/4
15.36,2002/12/4
15.12,2/13/04
15.63,2/17/04
15.51,2/18/04
15.33,2/19/04
15.85,2/20/04
16.5,2/23/04
16.38,2/24/04
15.58,2/25/04
15.32,2/26/04
13.8,2/27/04
14.91,2003/1/4
14.59,2003/2/4
14.73,2003/3/4
14.45,2003/4/4
14.81,2003/5/4
14.83,2003/8/4
15.57,2003/9/4
16.12,2003/10/4
18.81,2003/11/4
19.94,2003/12/4
18.98,3/15/04
20.27,3/16/04
19.54,3/17/04
18.38,3/18/04
17.98,3/19/04
20.61,3/22/04
21.06,3/23/04
20.24,3/24/04
19.58,3/25/04
18.19,3/26/04
17.11,3/29/04
16.68,3/30/04
16.33,3/31/04
16.76,2004/1/4
15.21,2004/2/4
16.17,2004/5/4
15.35,2004/6/4
15.41,2004/7/4
14.96,2004/8/4
15.71,2004/12/4
15.29,4/13/04
17.29,4/14/04
16.02,4/15/04
15.59,4/16/04
15.73,4/19/04
15.24,4/20/04
16.61,4/21/04
15.89,4/22/04
14.42,4/23/04
14.75,4/26/04
15.05,4/27/04
15.55,4/28/04
16.36,4/29/04
16.27,4/30/04
17.69,2005/3/4
16.8,2005/4/4
16.43,2005/5/4
16.45,2005/6/4
17.22,2005/7/4
19.44,2005/10/4
19.23,2005/11/4
18.79,2005/12/4
18.78,5/13/04
18.66,5/14/04
19.7,5/17/04
19.6,5/18/04
18.48,5/19/04
18.6,5/20/04
18.73,5/21/04
18.79,5/24/04
18.41,5/25/04
16.09,5/26/04
15.74,5/27/04
15.44,5/28/04
16.6,2006/1/4
16.05,2006/2/4
16.43,2006/3/4
16.24,2006/4/4
16.6,2006/7/4
15.79,2006/8/4
14.56,2006/9/4
15.33,2006/10/4
15.54,6/14/04
15.34,6/15/04
14.83,6/16/04
15.06,6/17/04
14.74,6/18/04
15.61,6/21/04
15.44,6/22/04
14.6,6/23/04
14.39,6/24/04
14.78,6/25/04
15.28,6/28/04
15.22,6/29/04
15.27,6/30/04
14.74,2007/1/4
15.23,2007/2/4
16.25,2007/6/4
16.36,2007/7/4
15.86,2007/8/4
16.01,2007/9/4
15.25,2007/12/4
14.86,7/13/04
14.9,7/14/04
13.94,7/15/04
14.27,7/16/04
15.17,7/19/04
15.53,7/20/04
14,7/21/04
16.65,7/22/04
15.82,7/23/04
17.22,7/26/04
17.24,7/27/04
